ГлубинаМанометра	Dшт	Руст	Рзаб	Pлин	РустКР	РзабКР	PлинКР	Туст	ТНаШлейфе	Тзаб	Tлин	ДебитГазаСУ	ДебитСтКонд	ДебитВодыСУ	ДебитГазаЛУ	ДебитКонНест	ДебитВодыЛУ	Нэф	РплТекПТ	РплТекР	РплТекКарноухов	PсбАтм	PсбБар	Rog	Roc	Row	УдельнаяПлотностьГаза	Gtotal	КГФ
3562.3	7.94	234.0	174.0	108.4	234.0	174.0	109.6	35.0	26.2	27.0	106.5	160.1	25.1	0.10	1131.0	44.0	0.1	21.0	28.34	36.90	38.50	96	94.84	0.807	764.2	1000	0.671	1.71	119.82
3562.3	9.5	230.5	170.0	112.5	230.5	170.0	112.5	48.0	36.1	33.1	106.5	217.0	30.5	2.00	1587.2	54.0	2.0	21.0	28.34	36.90	38.50	98	96.62	0.807	764.2	1000	0.671	2.32	107.37
3562.3	11.1	223.3	162.0	111.8	223.3	162.0	112.2	53.0	42.8	40.0	106.4	270.9	30.4	6.10	2019.0	54.2	6.3	21.0	28.34	36.90	38.50	101	99.98	0.80	768.6	1000	0.671	2.87	86.23
3562.3	12.7	215.3	155.0	114.1	215.3	155.0	109.9	55.0	46.3	46.0	106.3	301.5	28.9	8.00	2351.5	51.6	8.4	21.0	28.34	36.90	38.50	95	93.96	0.80	768.6	1000	0.671	3.16	73.7
3494.8	11.1	193.0	139.0	109.3	196.0	139.0	111.1	46.0	39.8		104.6	204.4	25.5	3.5	1565.1	46.5	3.0	21.0	24.23	34.90	 	98	96.32	0.81	765.4	1000	0.67	2.191	93.49
3653.00	7.94	323.10	440.50	108.89	314.00	442.70	99.17	37.00	14.00	105.42	16.20	310.78	150.07	1.20	1784.00	492.80	2.50	63.60	53.27	56.70	56.80	99.40	98.10	0.7874	798.0	1000.0	0.6540	4.23	385.42
3653.00	9.53	272.69	388.70	89.65	268.00	388.60	86.75	48.00	21.00	105.32	22.03	138.98	0.86	398.40	3127.00	238.30	1.00	63.60	53.27	56.70	56.80	99.70	98.40	0.7874	798.0	1000.0	0.6540	4.71	295.50
3653.00	12.70	202.15	308.80	97.88	197.00	308.70	92.46	54.00	35.00	105.22	35.41	473.78	151.79	0.70	3895.70	245.00	0.80	63.60	53.27	56.70	56.80	99.20	97.90	0.7874	798.0	1000.0	0.6540	5.73	255.68
3653.00	14.29	165.85	270.50	79.95	162.00	270.40	81.15	52.00	34.00	105.12	33.83	488.09	143.15	0.43	5129.00	221.20	0.40	63.60	53.27	56.70	56.80	98.90	97.61	0.7874	798.0	1000.0	0.6540	5.78	233.96
3653.00	15.88	138.87	239.30	80.73	136.00	239.30	79.54	51.00	38.00	105.02	37.26	492.51	137.68	0.41	5235.60	209.70	0.40	63.60	53.27	56.70	56.80	100.80	99.48	0.7874	798.0	1000.0	0.6540	5.76	223.11
3653.00	14.29	149.89	251.30	73.31	151.00	285.30	72.58	50.00		100.21	31.99	459.31	114.88	0.34	5209.50	172.50	0.30	63.60	53.27	56.70	56.80	97.00	95.73	0.7874	798.0	1000.0	0.6540	5.25	199.63
3653.00	11.11	191.41	296.80	76.57	192.00	296.80	76.82	50.00		102.38	24.80	355.02	109.27	0.33	3705.50	164.00	0.30	63.60	53.27	56.70	56.80	98.00	96.72	0.7874	798.0	1000.0	0.6540	4.25	245.68
3650.00	7.94	337.11	458.60	91.05	333.00	458.50	89.43	60.00	90.30	105.60	31.18	287.95	106.66	0.49	2519.80	163.00	0.50	63.60	47.33	55.40	55.20	89.60	88.43	0.8213	795.0	1000.0	0.6822	3.72	294.59
3650.00	9.53	325.84	452.80	97.79	325.00	452.70	98.18	66.00	95.50	105.49	40.51	402.79	143.01	2.18	3517.80	218.90	2.20	63.60	47.33	55.40	55.20	85.50	84.38	0.8213	795.0	1000.0	0.6822	5.17	282.24
3650.00	12.70	299.56	437.30	103.11	299.00	437.20	105.98	74.00	103.60	105.47	51.38	654.56	230.98	4.56	5599.80	354.60	4.70	63.60	47.33	55.40	55.20	93.80	92.57	0.8213	795.0	1000.0	0.6822	8.40	280.56
3650.00	14.29	280.33	426.20	107.06	280.00	426.10	106.77	75.00	106.80	105.42	52.76	742.11	272.77	6.25	6020.60	421.60	6.40	63.60	47.33	55.40	55.20	92.30	91.09	0.8213	795.0	1000.0	0.6822	9.64	292.24
3650.00	15.87	256.21	414.00	109.78	255.00	413.90	109.39	75.00	110.20	105.36	55.51	846.82	302.62	8.34	6943.10	469.60	8.10	63.60	47.33	55.40	55.20	87.70	86.55	0.8213	795.0	1000.0	0.6822	10.93	284.08
3650.00	14.29	271.47	414.80	108.63	271.00	414.70	108.64	74.00		105.35	53.13	720.27	262.01	6.01	5914.30	401.10	6.10	63.60	47.33	55.40	55.20	96.30	95.04	0.8213	795.0	1000.0	0.6822	9.33	289.18
3650.00	11.11	297.68	424.50	100.13	298.00	424.50	102.25	70.00		105.37	44.88	497.16	179.76	3.29	4204.50	274.00	3.30	63.60	47.33	55.40	55.20	88.20	87.05	0.8213	795.0	1000.0	0.6822	6.42	287.52
3653.00	9.53	298.57	403.40	111.38	298.00	402.90	111.61	64.00	32.00	104.42	42.44	366.22	118.28	1.47	2724.60	184.30	1.50	63.60	43.40	54.90	52.70	88.80	87.64	0.8235	788.9	1000.0	0.6840	4.59	254.84
3653.00	11.11	285.65	399.20	121.68	288.00	396.60	123.62	68.00	36.00	104.42	49.18	470.29	145.03	2.27	3324.90	229.50	2.30	63.60	43.40	54.90	52.70	87.40	86.26	0.8235	788.9	1000.0	0.6840	5.83	243.23
	14.29	221.80	 	107.56	222.00	 	106.77	69.00	 	 	52.22	601.50	167.10	1.00	5020.00	254.00	1.00	63.60	 	 	 	90.80	89.61	0.8243	788.4	1000.0	0.6847	7.28	219.04
